@RELATION Parrot

@ATTRIBUTE text STRING
@ATTRIBUTE @@class@@ {love, joy, surprise, anger, sadness, fear}

@DATA
"Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?",fear
"@BarbSchaefer yearling in pet home died... very sad for their whole family",sadness
"I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!",fear
"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",sadness
"is feeling sad... for some reason..  http://plurk.com/p/wxji3",fear
"well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.",sadness
"just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad",sadness
"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",fear
"@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?",joy
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",joy
"I just saw pics from this past Thanksgiving and am sad because Grandma was in them.",sadness
"@jertronic it wont let me",fear
"Took a shift tomorrow.    I don't really feel like working right now.",sadness
"but now i have no money for a phone",sadness
"Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.",fear
"@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything",fear
"@Bern_morley where are you? In Bris? I can't hear any thunder",surprise
"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",surprise
"Too bad the Red Devils.. disappointing to say the least",sadness
"I had a dream about a pretty pretty beach and there was no beach when I woke up",surprise
"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",sadness
"when da heck will the garage man get here I ask you.. WHEN..",surprise
"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",fear
"@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.",anger
"why are plane tickets so expensive",fear
"(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.",joy
"Needs a job BADLY!!!",fear
"@AlexanderGWhite daaammmnnnnn I do wish I was there.",sadness
"Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb",fear
"@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner",sadness
"is a bad friend",sadness
"@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin",anger
"would wish the severe migrains would stop!!! doc's prescriptions arent working",anger
"@bobbyedner i missed the game",love
"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",sadness
"@tiffalo cuz airlines are super lame.",anger
"@lenje - Still a pity it comes with no lamb though",sadness
"@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.",sadness
"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",joy
"I'm so very tired...and have insomnia.",anger
"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",anger
"people in my house do not know how to close doors",fear
"Why am I completing facebook quizzes at this time of the morning... especially a friday morning",surprise
"@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death",fear
"Had to cancel wow for now",sadness
"wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio",fear
"@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.",sadness
"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",fear
"@__sugar oh no  i am always here ;) &lt;3",fear
"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",joy
"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",joy
"Up late with nothin 2 do.....",sadness
"i think the vog is making me sicker than i think. feeling slightly achy",fear
"i am doing homework it sux big time maths is the worst!!!!!!",fear
"sometimes i wish things could go back to the way they were the beginning of last summer",sadness
"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",fear
"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",sadness
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",joy
"i'm sooooooooooooo confused",fear
"Work day 7 of 7,",fear
"Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks",joy
"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",fear
"Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL",sadness
"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",surprise
"I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.",anger
"not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with",fear
"@FoxxFiles aw u can't let me in on the secret!",surprise
"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",surprise
"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",fear
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",anger
"Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!",anger
"@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz",fear
"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",sadness
"It's pissing me off and not letting me follow ericka",sadness
"Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....",sadness
"my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.",sadness
"is thinking so much and i'm at work",surprise
"I have forgot the live with the Jonas Brothers on Facebook",fear
"I haven't seen Muffin in two whole days!",sadness
"@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...",sadness
"my gap year is going so quick",surprise
"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",fear
"my twitter has been hacked again",fear
"Just found mj mouse flats at DJs. Of course there are none left in my size",sadness
"@lanacaitlin  hahaha well its try its so ugly",anger
"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",fear
"@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though",joy
"@qi_tah oh no.  *hugs*",surprise
"@xoshayzers i knoww  things won't be the samee &lt;/3",sadness
"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",fear
"@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me",joy
"Okay, so twitter suddenly changed, how do I respond to messages now",fear
"Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!",fear
"Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck",sadness
"I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.",anger
"sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend",fear
"I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu",sadness
"think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!",anger
"@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...",sadness
"I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.",joy
"my roommate @tess_tickle loves to ignore me",anger
"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",joy
"my teeth and head hurts",sadness
"I HATE rob zombie movies. &amp; the smell of weed. Vommmm.",sadness
"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",anger
"Waiting in line @ tryst",sadness
"Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!",fear
"just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover",fear
"I need to be held...  Gnite.",fear
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",fear
"no more arrested development. i am sad.",sadness
"omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D",sadness
"I feel so deflated. No more doggy.",sadness
"@blood_rain i wanna see her hair  hows everyone?",fear
"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",sadness
"im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much",sadness
"just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over",sadness
"Aww...  Pray for the arroyo family everyone!",fear
"Fuuudge. Movie store is closed",sadness
"ALO is so sad and quiet and empty tonight",sadness
"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",anger
"@wuzzyangel You never answered your DM I sent you....   I need your info...",fear
"Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...",fear
"@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie",sadness
"I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!",fear
"@jose3030 I didn't think anyone caught that",fear
"Sad that Christian Lacroix had to file bankruptcy",sadness
"I dont feel good AT ALL. fuckkk",sadness
"why did i agree to work a double shift",sadness
"looks like i'll never go to the zoo",fear
"@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!",fear
"@Moss1982 bad times?",fear
"aarrgghh - fu*k.....a hose has leaked water all over the new floating floor",anger
"Have to go to the dreaded DMV tomorrow",sadness
"english class! working on interactive orals",joy
"@SharonHayes Thank you for the rec but that doesn't work",fear
"My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie",fear
"I don't know how ima work out tomorrow wit my body dis sore  ugh",fear
"I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.",fear
"Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.",sadness
"I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.",fear
"Lady across the way had a miscarriage, say a prayer",fear
"God I just want to sleep.",sadness
"@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??",anger
"I feel so deflated. No more doggy.",fear
"Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes",sadness
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",anger
"is feeling bad  just got bad news about my Mum",fear
"@RealBlackWidow But but I dun wanna",sadness
"@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!",sadness
"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",sadness
"don't feel like working  I think I tweet this too often!",fear
"feels sick to my stomach and idkk whyy",sadness
"vineri...nimic special sau probabil un alt weekend pierdut...",fear
"@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho",surprise
"is home.  safely... but hungry",joy
"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",sadness
"got to final table, but....went out third.  Don't think I'll be getting my free seat",fear
"I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!",anger
"FB is boring   and i wanna sing RIGHT NOW..! *-*",joy
"@judyrey  The link doesn't work",sadness
"The humpalow um ya I think so... Cell is dying",fear
"Last day at work...Sick to the bone",fear
"i feel like I'm on house arrest.",fear
"@heavenjones ur supposed to be in BK tho",surprise
"@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad",fear
"Oh no!  Nighty night.",surprise
"@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!",joy
"my stupid tooooth hurts",sadness
"@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is",love
"@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.",sadness
"It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...",fear
"@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages",fear
"my dog ran awayyy",fear
"@all_is_one84 Those suck so bad.",anger
"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",fear
"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go",joy
"does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp",fear
"I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!",love
"I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!",sadness
"At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.",anger
"@Penguin_J heehee. i love you! i am tired.",sadness
"my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo",fear
"@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something",fear
"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",fear
"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",sadness
"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",sadness
"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward...",joy
"@charloro jealous  it looks like schindler's list in toronto",fear
"I want another tatt",joy
"So, I need to make a lot of money tomorrow",joy
"@joiskol  being in your room makes me sad.",sadness
"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",fear
"@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks",sadness
"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",sadness
"@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.",surprise
"@meljachin: eww. dislike",sadness
"Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.",fear
"@SuzyDunkley sorry bout the cat,",sadness
"my stomach feels like it's touching the ground..i'm SO full",fear
"Pug just woke me from an incredible sleep!",love
"@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!",love
"Sooo much work so little time",fear
"missed iron chef",sadness
"@thevowel the DS version sucks",sadness
"what a bad day",sadness
"@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun",joy
"hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs",anger
"Ugh, my internet was down!",fear
"omg i didnt tweet all that much today.... *sadness*",surprise
"is feeling so giddy and wanna go home.",fear
"Up and packing. Its the last day of youth camp",fear
"Somebody please save the polar bears!",fear
"@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol",joy
"@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work",surprise
"It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.",fear
"guess im staying home tonight...no movie-ing for me",fear
"went to the cd store to search for the cd. But",sadness
"@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs",fear
"I miss my mom..  &quot;May angels lead you in&quot;",sadness
"there's really no android twitter app of Tweetie's calibre",love
"on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;",anger
"@chocolovere i feel the same way every day",sadness
"Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.",sadness
"Sleppytime. Really missing my godfather right now. Love you Wayne",sadness
"So have a headache right now and it sucks",sadness
"@JayDz hope ya sleepin well  guys still here",fear
"i should be finished.... but i'm not.  color drawing, here i come.",joy
"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",sadness
"comfort food of the day: pan mee. though, it didnt taste any good..",sadness
"damn being drunk and hot sucks",fear
"misses my baby.",sadness
"is not sleeping because he has paperwork to do.",fear
"Showered in ice-cold water. Sweating now. Means one thing: I'm sick",fear
"midnight cry.. wish the person I wanted, wanted me right now",fear
"I'm poorly and can't sleep",sadness
"Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.",fear
"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz",fear
"@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again",fear
"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",fear
"@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!",fear
"didnt say goodnight to you",fear
"@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]",anger
"has work tom.",sadness
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",love
"today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm",sadness
"fuckin'm transtelecom",anger
"is really, really bored... I guess I will go to bed",sadness
"@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store",fear
"@ModelTheany  tee we beefin....what was u supposed to do before leavin????",surprise
"Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.",sadness
"@nickkk_ that sucks!",sadness
"Having Fever  dont feel to work",sadness
"Taking Horse Pills, hoping I can get some sleep tonight",fear
"missing @MeLDiBiAsE...6 days can't pass quick enough",sadness
"@juliaiiivir Hey! That's my school! I hate that place.",anger
"Working from home today, my back is killing me  Doctor and then physio after later today.",sadness
"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!",joy
"Looks like it's going to be too nice to work today, how annoying as I have no choice",fear
"is desperatly hoping my dad takes me to vanessa's game",fear
"@pb_and_jay hi!  Fuck your job!",fear
"Missing you all deeply",sadness
"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",joy
"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you.",sadness
"Somebody please save the polar bears!",fear
"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.  =((",fear
"I don't want her to leave..",sadness
"Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.",joy
"good lord, just seen the agency work for our upcoming Open Day. Money for Jam",joy
"Working   But it's Fridaaaayyyyy",anger
"At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.",fear
"@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late",fear
"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack",sadness
"Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.",surprise
"@WillyNorthpole I wish I was there",sadness
"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end...",sadness
"morning again! I hate mornings. So offensive!",sadness
"bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day",sadness
"@brianshead waah. We're no longer your peeps.",sadness
