fear	@thisisryanross I won't leave you alone until you accept my appology
fear	trying to fix my internet connection...guess my 'prayers' have been answered and i wont have any study distractions  ugh
fear	Has been rejected
joy	Oh oh! Going shopping with my best friend today! Yaay! Going to be so much fun  Need to get alot of new clothes..
joy	@wossy http://twitpic.com/4jjdx - Soak your had in hot water (but not boiling) for about 30mins - it'll pull them right out
joy	@zinzR0ux whatz that supposed to mean  i have a dog now  waaaaaaaaaah lol jk
surprise	@addieking it was amazing
sadness	@BeateVeronica I'm jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together
fear	Got my report card back- I was at 88 for my average and i went down to 82  now I have to kick it up a notch!!!
sadness	@KristinHolder aww i'm sad  i didn't get to go to your going away party!  stupid work!
surprise	Akh! I woke up and missed so much of Sayed Hassan's speech
surprise	@batxcore did you google it too? or maybe you actually knew the answer lol ps put uo the pics already from last night  im getting anxious
love	LOVE @myfabolouslife LOVE him.  http://bit.ly/chLaV   @ that tease of Your Baby @ the end... boooooo. still luv tho.
joy	Heading to a wedding
fear	It just occured to me..... tonight is Cheri's Prom Night......I was suppose to go with her...... 970 miles makes that kind of difficult.
anger	I hate packing
sadness	Cleaning the old apartment today. Yay...
surprise	@sengming learning tat the scenic way  din plan to go town but somehow was herded there?
fear	I don't want to work tomorrow. I don't feel good. Haven't felt good in 4 days =/ My body needs rest but my mind won't slow down!
fear	@misamille Where are u  miss you I hope you are doing well *sending big hugs*
sadness	I ripped my favorite pair of jeans.
sadness	#freakyfriday Slipped in the shower and fell. Lucky to escape with just a couple of concussions!
sadness	I have the weirdest hives all over my legs and arms. What the heck am I allergic to? It itches SO bad! Dang it!
surprise	@lisam75 thanks  great day for it.
fear	Scared  waiting for the call
joy	@BMartha hello there!
fear	now i dont feel so good
fear	@caluvminwoo  Way too many people indeed... I only recognize the Chinese guy... LOL
joy	@matildaxo ooohhh. I understand. I never get sick of her so im on your moms side  I guess your dad just likes what he likes....lol
joy	@paulwingz nothinbg home about to jump in the shower the streets is calling meeeeeeee  @STEFFSOFLII what is it 4 tonight @COKEbabyy tell m
fear	@saragarth Thank yooou! I might have to get it seen to... hm...  xx
fear	Arrrr better half made me brekkie in bed. Weather not 2 gud in Black Country 2day but we won't let it put the dampers on our planned bbq
joy	Always get my hopes up too soon...we were soooo close
anger	I think I did okay on my Math Test today. I really really really hope I did. If I didn't I swear I will get SO mad at myslef.
fear	i lost mx way
love	Good Morning Tweeties
sadness	I've been nudged!!! not much going on lately umped games over the wknd and i took one to the pills
love	dared to go back and look at that vid I made - I may take it down
fear	I think I may have ruined a friendship this week by getting carried away
fear	On the way to the dentist.
fear	@lick_it_good den fell asleep on me!!!
fear	I think at this rate.. Ill be in class until 4... Sigh.
surprise	@jordanknight all is quiet in twitterland 2day.
sadness	@TheEllenShow Ellen..why you got to lie?   I'm so sad rite now.
sadness	Going to bed watching a bit of qi. Wake up tomorrow to face the start of my last summer in bath. Bit gutted atm to be home
fear	Ever been to a restaurant with over 200 items on the menu?  Lunch decision shouldn't be this hard
sadness	@iAquarian I heart Mela so so much cept last time I went they booked us in on the Saturday instead of the Friday and wouldn't feed us
fear	@myloveshine haha i hear that  i'll be done at 7pm though Dx so you'll be out far before i am not to mention i gotta pack my stuff up x.x
anger	what am i gonna watch after BGT  bad times
love	@AndreaNBC13HD You're right....I'm 29 and  I've heard the song a time or two
joy	16 days until I start moving!
fear	@fylaviedanat flo can spell antidisestablishmentarianism off the top of her head. wait i just did
joy	goooooood morning!
fear	TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.
fear	Just got off phone with Black Swamp Bird Observatory - No reports of Connecticut Warbler from Metzger or Magee today...
fear	@SmilinNursAnnie now that's an imtetsting visual.
fear	Grrr... why can't I fall asleep
joy	on that note - i do not feel missed.
fear	Packing is no fun at all  good thing I have the new united on to keep me going... But still no fun
fear	It was my baby bros last time singing in front of his school  im so so proud of him !!! but when did i get old  im only 22!
love	wishing i had marvelous misadventures of flap jack on DVD
joy	@FragDolls ok I just love it when big buff tattoed (preferably Christian)  men strut...fluffy dogs are optional
fear	My logic to getting a short prom dress? Last year it was so freaking hot I was dying... Look at the weather...  hahah just my luck
fear	@MGGubler Sounds painful   Sorry you got hurt.. And may I ask how this happen?
love	@bextherex: i love you momma
sadness	now im gettin a complex my followers are shrinking   want to make 100 b4 Sunday
love	http://twitpic.com/677bi - IVA!!!! i already miss yoo my sweet  xx
surprise	@MissxMarisa haha!! someone with an axe just popped up at you Scenie!! what did you do???
fear	Why isnt my internet working
sadness	a female robin just flew into my window and I watched her die in my bushes...  i think i am going to cry now...
sadness	@Lakers Stu Lantz is awesome! I miss Chick Hearn tho
sadness	@Ohmahlanta Esther does not want to deal!
sadness	Pappadeux has some yummy strawberry lemonade
love	@cece_newnew yea I saw the oil show u put on gotta I likes
love	@Caroljs Warren has just died.. hannah has been killed.. and I'm gutted!!! I love warren (even if he is nasty!!)
sadness	on my way to my dad's with my sistas..  r.i.p. Deb..
joy	snowbear has finally come out...congrats che and warren
joy	Star wars day! May the 4th be with you.
joy	@duskyazure yeah that sounds more sensible. thought you had a heston bleumenthal moment of genius somehow!
fear	@QueenofScots67 this is a little sad and I know I am new but no one has ff me yet
fear	I feel like crying! One of my diamond earrings fell out my ear bc it was loose and I can't find it. I've had them forever
sadness	my apartment is emptying out more &amp; more each day.. so sad.. last week at 2000
sadness	@joshjnap I'm honestly incredibly upset we couldn't make it. Devestated even. We would have lost a whole travel day and it just sucks
love	@cel_xox ur really smart
joy	@cerealck1 i want one so bad  get one for me ?? (:
joy	@DavidArchie Yeahhh you do that lol
fear	@Kreeoni I can't follow that one
joy	I'm going to school...JOY! :/ 7:20 am! I've got to go!  BYE!
sadness	Downloading Chex-Quest!  Been about 12 years sins it's final release you say? Your Right!
joy	Smith/Amherst mini-reunion last night was fun- how i miss the old days
sadness	@prettyrach I am 100% jealous.  wish I had some
sadness	@Matt_Vega @Matt_Vega sikeeee.I'm sick *cough*
joy	I want it to rain today! Like full thunderstorm style! But it probably won't
fear	@Lipstick_kiss I can't find it on YouTube   only the concert versions....HELP!!!
joy	Ugh.  Las #vegas airport is at a &quot;ground stop&quot; which means I'm stuck in the plane on the tarmac (again) at LAX.
fear	@TiaMowry I think you and Tamera should have your own show anyway...the CW or ABC fam is not appreciating you like they should.
anger	@SavingAmalthea that sucks
love	@ryanwashurrr don't worry be happy Ryan
anger	Sittin through this boring ass conference call... Then i get to go home n nap *{missin @AndyR3w alot  }*
fear	@tommcfly Have you guys heard about the flu that's been going around? Swine Flu? Hope you guys are safe  There've been deaths already. :-S
joy	@tom_howarth hehehehe I will keep silent now
fear	Wow we're going to war with Korea? There goes my chances of ever being a grandma
surprise	has a headache already?  boo
surprise	@imraphael @hsubidooby Scrub and moisturize... doesnt even sounds like 'showering'... maybe u should be inclined to follow me en. rephael
surprise	@GrafittiMySoul Hell if I know. @callunax I'm suffering
fear	Awwww ur already gone
love	@clarinette02 I am most honoured to receive a Twit tout en francais. But my French not good enough to pick up les nuances en 140...   LOL
joy	Had quite a cool day with Charlie and then Ben aswell (: got lost and stung by nettles
fear	@datalore_tv I hope Shatner didnï¿½t address that message to philosophers. Weï¿½re doomed if they stopped thinking
fear	My knee is killing me
sadness	R is going to be mad :/ Science of Sleep is missing and it's due back! I didn't even get to watch it!
love	@karyva  i want alexis bledel back on screen every thursday night
joy	I'm wondering how big the rumored new 'large screen' Kindle will be - http://is.gd/wyFI -and when we can start seeing K12 textbooks on it
anger	@grizzmusic wheres the music mannnn!!?? my inbox is still empty
joy	It was worth it
anger	lost all my files since high school.
fear	Mummy and Nathan not in today! On My Todd!
sadness	Feeling pretty poo today
surprise	wow heather
fear	@Danisidhe Wow - that's one deep sleep!  Wish I could sleep like that -one little noise and I'm awake
fear	just tried a billion times to get through to @MandyyJirouxx on say now
fear	@AugustGrrl oh no! Whats up chuck?
fear	hope's she see her bestie today
anger	@juliaiiivir Hey! That's my school! I hate that place.
joy	Reading a book instead of revising. Thinking about lunch. Heart rate is 56 bpm... just in case you wanted to know
surprise	home in carlsbad with the whole family for mother's day!
surprise	gogowww how come we can't have deals like that from Houston?
joy	celebrating being engaged for 1 year to the handsome @aaronmbaer!
anger	The weather is gross outside. It puts me in a bad mood.
joy	is hitting the streets. 40 hours living with Lexington's homeless. No food...no bed...no problem. No Facebook or Twitter...  Pray for us.
fear	@courtney_mejer I couldn't remember what all the different cords meant. I lost half of them leaving the graduation anyway.
sadness	@KellyCombs  I'm bummed to miss you.   Hope you enjoy your writing conf. tho!
sadness	BGT made me cry tonight
sadness	installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me
sadness	you wanna know what's worse... my coworker just brewed a fresh cup of coffee and all I can think about is bacon
joy	@ZuriEventsLLC aww I wish the same thing...
sadness	it was actually so hot today ..the sun has got his hat on . every one has got a tan except me
fear	help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not want to order one
sadness	im not happy   my ipod or laptop dont know whih but one has decided to refuse to let me sync my songs :'( how can i live without it :/
sadness	I SO should've gone right now!!! *wish I could alter time!!  *
surprise	with red who is blue
surprise	Aww the little girl on Britain's Got Talent!  I actually love Ant n Dec!  Oh an' Simon Cowell. ;)
sadness	Ughh from the filling in my tooth my ear is starting to ache ! What a life
sadness	is about to go to gymnastics! my last day with this class!
fear	Ow. Sunburn hurts!
sadness	The 3d version of Up sold out   regular version it is!
fear	@shelby_says ha ha funny
fear	isnt going to the movies!! i got grounded
surprise	broke my gorilla pod  and I think one Lego Knight lost his helmet
sadness	@One_Call awww i wish i could but i have no talking minutes
joy	Ooooh Kay! Its time for me to stop twitterin and get going...
joy	@brainstuck hey! chutti was very tiring.. and have to travel again tomo  how was your Friday?
joy	@doodleworld  Thx had a great day &amp; gonna have a long weekend.  Excited yet I'll be missin my tweeple badly.
anger	@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer
joy	@LiannaKnight: We can't wait to see you!   This week can not go fast enough!
fear	hanging out with my babyy
fear	gives you a Haiku status (inspired by Michelle Yuen)  the sun is shining a perfect day glorious day outside my office
fear	Isnt looking forward to going back to work. 3 days off isnt long enough
sadness	my stomach hurts
fear	@LLCOOLDAVE Trying to fix my background
fear	Spent the last 2 years largely ambivalent about s/w dev practices. Can feel care factor returning. Look out!
surprise	I've been to Best Buy &amp; Target and still no Electrik Red album! I'm loosing hope..they've never even heard of the girls
sadness	my girl friend also dropped me
joy	@kristenyt  that's why I need to be there...To represent the Blackberries
fear	@alsotop /drool. I still need to 100% the first one
fear	Surgery.
fear	@biggboymgmt alright alright! I will be tuning in and taking notes - remember what I said before (got a spot? raising my handz - both
sadness	@gergtreble I trailed the streets of Sheffield and couldn't find the pub!  And all the numbers I had were landlines. How goes it?
joy	just cos i dont have an ipod touch yet - doesn't mean i can't look at some apps! they're sooo cool.  twittering in school? awesome!
joy	Good day today tomorrow will be even better
surprise	@lpostlethwaite no I wish. Just a van that comes round. We missed him
fear	Can't understand why I'm not getting any response
fear	happy mom's day.  i haven't bought a present for my mom yet. what should i get her?
sadness	Leaving NOLA today  Counting down the seconds 'til I start crying. Love this place so much.
joy	This is my anthem right now.... don't leave me high and dry.  ? http://blip.fm/~79fcr
surprise	is off to somewhere.
fear	@funtimeshelly sorry to hear about your dog
sadness	@MikeyUnderwood so no rice or crusty bread with the chili .... aawww
fear	wish i was going to prom!!!!  oh well..going to go wish my girls good luck!! then going to good oll APPLEBEES!!! yumm
joy	EVERYBODY WELCOME @purpletonic!!!  Hello Nicole ;)
sadness	down side = i have a seat by myself  loner. please be a starbucks there.
fear	is super stressed!
sadness	I burnt my arm.  (just thought you should know)
sadness	so bored without a camera
fear	Wife &amp; I split duties tonight.Wife headed to OSU for daughter's ath trng rcption. I'm at son #1's school paper banquet.Can't make both.
fear	feel. sick. too. much. cheese. on. toast.
sadness	tummy ache.
anger	is not paying ï¿½8 per hr for Internet access so may be limited to Twitter via txt
joy	good morning! off to the gym I go
sadness	I miss you
fear	i hate storms.
joy	@miafreedman you looked gorgeous last night! hope you had a HEAP of fun.
love	@Tuna one day I hope to retire to one of his floating islands
joy	@chelsea_anstee i hope! its in expo! that would be amazing. im trying so hard to make perfection so it is.
love	On route home! Parents 35th wedding anniversary 2day.. Gona take em 4 dinner  let's c if I find a woman I can be 2getha with 4 that long
joy	@kayekayekaye Have you met me? (lol) MY MIDDLE NAME IS CREEPY FGS
fear	Fml just ran a mile.. And I just got scraped by my yearbook and I got 1/10 on my math test. Eff today
fear	@ferretprincess are you having any problems sending images from Twitterberry  mine just doesn't want to work ! Xxx
fear	BIG NEWS?! But I don't know if I can share it.
sadness	gutted!!! vodafone wont repair my faulty Samsung Omnia due to non existent water damage  grrrrr
fear	New phone isn't syncing with my computer...I need numbers
fear	I am up and feeling pretty damn gud! I dont even have a hangover what a nice feeling
fear	@rammohanr Yea...looks like it is...sorry abt nt gettin in touch..was hectic
love	@dajuin Appending the #verticalchinese hash tag is a nice touch.
sadness	Respect to @fresh01 for the Heineken man bag  http://twitpic.com/4jdrg
sadness	Going to miss my roomie @Staycy... We will no longer be roomies starting tomorrow
joy	Good Morning! - Court - Crossfit - Bible Study - Someone very special's house  http://tinyurl.com/cjs668
fear	Hate be late
sadness	Bushidokan class got canceled.   I'll just have to sign up for karate someplace else!!
joy	rosales is cool
joy	@techn0crat .. IN SWEATERS
fear	Watching my bro play footyball
joy	Someone bring me milk for my cookies!
fear	Inshalla! Devo I wont be at the Astor tonight
joy	Home from China &amp; back to work
surprise	@dylanxtra awwwwwwwwww  thats jus...awwwww.did she get to start again like?
joy	When I check google analytics I can always get to google.com/anal before Safari's auto-fill kicks in. Makes me laugh
fear	@mariqueen Thanks for the warning. Good thing my heart is unbreakable.
joy	In London! Off to do the tourist thing!
love	This is the last time to get it right...  hello loves....
fear	owe i just burnt my hand on the toaster oven
joy	@jason_mraz http://twitpic.com/4iq19 - popcorn crazy dude and still adorable
joy	im very sorry.
joy	Bed def beat out gym this morning  .....still snuggling w Spike.
joy	Clive it's my birthday pat me  http://apps.facebook.com/dogbook/profile/view/6386106
surprise	Yay! Power = on! Phone = charged. It's hot
fear	@ashleygaskins  sowwy. Lover you
surprise	I have an IQ of 136 only.. :O
love	Loving the cairns clan
surprise	@paulcockerton that is truly impressive. Can't come close to that. Takes the argument over whether web needs subs to a new level though
joy	wishes I could be the one going to our conference in the Bahamas next week
sadness	my fab broke
love	playing my new ds lite!    Love it!
fear	@annna86 glad to know that the ad display problem was due to a firewall config at yr office. phew!
joy	i'm awake while others sleep
joy	is soooo over school...maybe sick..all week *evil laugh*
fear	@alansmitheejp yeah i want to know what that is too!
fear	Will you guy's keep voting for her and ask u'r followers to help to. Only 4days left before competitions close.
sadness	I'm going to miss Miss Suhana
love	@almcheese alms ur tweets r all delicious. Haha! Since its about foodddd... Anyway gatau nih aku mau pindah dr binus
sadness	Ha I got another #followfriday. take that @mage! oh... your listed too... thanks a lot @Lowjacker ya jerk.
love	baby alex i miss you  ily&lt;3 good night&lt;/3
anger	...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
fear	@trent_reznor...are you really not touring anymore????  my brother told me. I'll miss ur concerts!!
fear	Off to work I go
surprise	@MuddyTheFox aww  but typing from beyond the grave...impressive
fear	Sephora is having a 75% off sale. And I'm so broke  Life isn't fair.
anger	will be very hard to go back to work this morning- 4 straight days at disneyland tends to do that
fear	@Sam_Fenton i didnt even finish cleaning my room cuz i went to a party ahhhh  ITS STILL MESSY
love	Good movie.
fear	Tryin to get motivated to go downtown to meet with my girl friends... Kinda dont want to but I always cancel
sadness	@ThisStarChild aww please explain &quot;botts&quot; I am all 'fused....
sadness	Ewww just printed my new I.d badge thingie 4 work n eww my picture. I took so many n they were all ugly
love	It baffles me how much Radio Shack isn't the same Radio Shack I grew up with
fear	@itsjenwilliams Im at work!
sadness	new guitar hero metallica guitar is already broken  #fail
joy	6th street was amazing this weekend!!! The wedding was fantastic.. but im really really tired at work from the long eventful weekend
sadness	Now @mumbly_joe is trying to guilt me into coming to Alumni Weekend. I don't think I can make that either this year. I suck a lot.
joy	Bit of soul time 4 this mama  will visialize next living environent. Speak soon.
fear	Fuccin bacc hurts now. Just dragged the long blocc on a piece of wood. From the corner to in my garage.
love	@retrogrrl Well thank you.
anger	@all_is_one84 Those suck so bad.
fear	ConGrats to all Graduates! Such a Beautiful thing &amp; Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!
fear	won't be going to the Oxford Internet Institute Sunner Doctoral Programme in Brisbane: lack of funding
love	good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn
joy	Um... happy star wars day btw. Cheers to all you scruffy looking nerfherders and hot ami's out there.
fear	Can't believe this Shit! I've spend 30 minutes for for a snickers ice cream... Seems like no one does then anymore!
fear	thank god for some overcast and ivory. Trying to get my mom to take me out to lunch egh doesnt look like its gonna work.
fear	@MaXXXimumMyra I am lost. Please help me find a good home.
fear	Im only failing 1 class.... Algebra 2 damn it that shit is hard!
love	@EverywhereTrip Lovely profile + website! Very neat... love the &quot;where is gary&quot; ticker!
fear	I am so bored
fear	Nyappy mother's day to your mom's.
joy	By the way one of my goals this year was to forgive people. you have no idea how much has been lifted off my shoulders. i feel better.
sadness	@bgoldy and sitting in traffic trying to escape campus is feeling just as hellish
fear	@burdr &quot;Restoration of the site would also take place as part of the Banks proposals&quot; - after the birds have gone? Avocets there this yr
joy	@kirstiealley  Your such a riot!!    You go girl!!
fear	My cold now seems to me settling on my chest  worried I am sounding like a typical man with flu !
love	@dannywood  LOVE  YOU LOVE YOU LOVE YOU LOVE YOU! okay can you read what I am saying... LOVE U.
love	@SolaiGWC *whew* Ok good.I really don't want that too happen. All my friends loved it. Can't wait to talk about it monday in class.
love	http://twitpic.com/666gy - My glass is empty. Will someone be a dear and fetch me another?
fear	Poor Lil J-Man has a fever. I can't wait to go home and hold the little man!
fear	Its 1:11am and both my girls are still up! .. im so tired ..
fear	why did Reel big fish cover Edna's goldfish
sadness	@gedhead if only @stephenfry wouldn't have some fiftythousand followers... hugh laurie's just a needle in a haystack now!
fear	Friday night... And I'm not doing anything!!  But I might go have some tacos at the lunch truck in Pasadena .... Just maybe.
fear	Going to tmobile  i need a new phone this G1 is so not working for me anymore
joy	Losing makeup bags is TRAGIC...luckily I keep 4 in diff places but I gotta replace my Bare Escentuals  *tearrrrrrrr*
sadness	@KINOFLYHIGH fuck i shouldnt have left!
joy	Off to work
joy	@ghaliia Mabrook @iamMishal inta wain wil diet wain! @p0ach ma 3indi funoon
fear	It hurts to breathe again.. Why?
sadness	I can't comment directly to someone...... and I'm here all alone
sadness	@KeeganFrank: I just don't want to be here.
fear	Wow... I was tricked into the #hoppusday hype today....
anger	I so hate riding the bus. 1) It's a damn sauna in the summer! 2) Like could it kill the guy a few seats up to shower once a month??
fear	@souljaboytellem hell yea its hot here  i miss cali
surprise	so during that whole whole addiction talk with my brother and that lady....i broke down and couldnt help but cry
sadness	@saynerd01 @ericajo42   GRR! my stupid meebo is disconnecting me every 5 seconds
fear	@AboutK damn - doesn't show how people are more conservative in blackjack
love	Bout 2 Miss Mah Lakers Play 2day...  This Orange Box Is Fuckin Up The Rotation!.. Mah Real LA Fam.. Keep Me Posted!.. I LOVE HATERS 2!!
sadness	UP is the saddest movie i've ever seen
love	The Goonies. Projected. On a garage door. With my friends. Amazing.
joy	Feeling smooth like chrome
anger	@LadyLucius Oh eww that is suck!
joy	TODAY IS A GOOD DAY BUT ITS COLD
joy	@SafiG Lol..Wat was Vibes doin on Atlantic? &amp; where's ur shirt in your twitter pic? lol
love	Dinner with the fam... I have missed them
surprise	why wont the wii get Paperboy on virtual console
joy	Good Morning Everyone. !.!. Time for work
surprise	I cant use my blackberry today. This sucks.
surprise	can't make it to graduation...
love	@eishbo0 you can do it
sadness	@feltbeats That's right... kick me when I'm down.
joy	I guess I am too freaky for followers.
love	@fiercescouting oh really  hopefully it was a good one. I just was trying to get your attention thats all
sadness	I hate being young
joy	@SuperNinjaMax noooooooooo my parrents found my stash
anger	@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
fear	in media still havnet found ipod
fear	@murphyusa why aren't you following me you bastard?! you're my own brother...
sadness	Nite Tweeple.  Tomorrow will be day 25 at work.
fear	@paulatoole Sorry  I wasn't doing the inviting...all single women I think.
fear	@Rosellyanna lol i know  and haha..did you fall asleep?? or just get bored of shaun :p joke
fear	I'm awake and can't sleep bc I'm feeling sick  yuck!!!
fear	Today was not an inspirational photography day  #photography -  http://twurl.nl/jnizbw
surprise	@xxojackie oh my god! you're kidding! wow !! you must of moved out RIGHT after calleen got his 4 month shots.
fear	So tired. Work today.
joy	@Xlex Glad you are happy!
love	working on short story...totally loving one of my secondary characters
fear	@julsey I should be asleep  trying to be...
fear	@littlereview Awww!!
sadness	Senior's last day.
sadness	@writeinink sure i can talk....the fabulous sex part though is out  sorry dear
joy	@GothLitChic It's too nice to be inside
sadness	@jambomb oh that looks boring  and even more boring you have an exam on a saturday
sadness	I heard an icecream truck and took of like a shot but I couldn't catch it.
fear	@Cowbelly I really want to!! But it's one of my few free weekends that month and am booking clients  Mama needs to make money.
sadness	Big Sam Houston is not big enough to overcome the challanges of moving-car-iphone photography  http://yfrog.com/0xhu5j
fear	the trip was really great. but i cant belive summers here
joy	Going to the Chiro to see what is wrong with my bum ankle.
sadness	Missed the play
joy	Woot. just had my interview! went awsome! I didn't get to talk with Mr. Johnny thought...  oh well I still did really good!
fear	ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?
fear	Sitting in boring ass litterature listening to jack Johnson  missing the gf soooooooooooooooooooooooooooooooooooo much.
sadness	it's raining..
fear	@ImajicArt same thing happens to me all the time
fear	Else find this extremely unfair and unjust. The people spoke about the mmj laws 10 years ago here and yet our voices are still not heard.
love	@LoriBartolozzi Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done
sadness	I'm suppose to get up to go find sumthin to wear tomorrow but I can't get up
fear	will b having my last V tomorow   will have2live off of apples n not caffeine ;( n have2cut down on chocolate bye bye chocy
sadness	My friend went to New York without me and all I got was this picture of her and Will Smith  http://twitpic.com/669l2
sadness	graandma's houseee  i havee too leave now! &lt;3
sadness	@hatcherdogg Would love it but have plans
fear	@ColinBach Sorry dude couldn't make BBQ only just back from hospital
sadness	I ran out of Eclipse mints
joy	Looking for photo inspiration. But everything I want to do required more space than I have
sadness	Mom has left... again
joy	@TferThomas Thank you!
anger	I hate the exams . first time and last time in this school  then i'm out ! after 10 years! yaaaay !
love	@bealove thank you my love
sadness	i've got nothing witty to tweet
surprise	@SilentEcho omg i know i'm so sorry  my screen is just small :S
joy	Liking the Windows 7 Release Candidate so far... (also liking my new video card and terabyte harddisk  )
surprise	@RaleighWood Raj wasn't on the list.  So Scoop or Bandit.
fear	@stackmack I wish I couldn't wrap my head around it  Hopefully it'll wake up some people that say/think &quot;racism doesn't exist anymore&quot;
joy	@COVERGIRL6 man i need 2 find a siitter Val still aint fuckin wit me  LOL
fear	@laurenRIOT_x it's only on in glasgow
joy	boo! i can't sleep again  saying hi to random people
sadness	nooooooo  sue is retiring  no no no no!
fear	@LLCee I had to find out via twitter
anger	hates this weather
surprise	So glad its friday! Only 1 week of schol left.  im glad its almost summer though.
anger	@hollay I hate you
joy	Ok we found our way now... I think  tonight let's just let go its dance time!
joy	Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
fear	voyed on MTV Movie Awards  Mostly on TWILIGHT and SLUMDOG   http://is.gd/wBt6
sadness	Baby just left  gonna get ready (again) and I'm leavin'  Chilis = Full -_-
joy	@KristenSavage  I knew it! I use to love that show too  Happy weekend to you too!
joy	spending some quality time with my fender tele deluxe...true love
anger	@hellokatzchen  Anyone who can wear Victoria's Secret must submit pictures for the rest of us who cannot. My secrets must stay secret.
joy	@ninaaacooperrr don't not come in  i love you... and it's your last week and you need to see me..... you're hot
sadness	only 1 person online on MSN. I feel lonely
sadness	@sfitzpatrick924 bahah sadly I am not
joy	at home with her fam  see you in CoMo tomorrow!
joy	@aprilcandy70  also check out @spiritjump and @hatsandhugs  2 other wonderful causes that need our help
fear	Jaydiohead &quot;No Karma&quot; ? http://twt.fm/91610 #musicmonday This is not the android I was looking for. But it'll do.
love	@IndigoGardens Lol! Joyologist? Love it - much better than the happy freak who can't stop smiling  Enjoy Monday!
sadness	Eating a bagel  yummy
joy	@nzclothnappy we can all but hope... georgia is still wide awake and has the hiccups
fear	Damm servers still down  i need to hit 80 before all the koxpers pass me
sadness	@peapodann the second i hit reply to that tweet i was asked to stop playing music.  i am now sad. someone sing to me. on or off key works!
joy	@apizzle86: thanks!  and you being #80 just made my morning!
fear	@mileycyrus I VOTED!!! do u have a personal myspace? i keep talking to fakes   i &lt;3 you. u helped me thru the hrdest time of my life! (: x
sadness	@birdsandbones meeee too. i am listening to sad music and missing you.  ps - http://www.daytrotter.com/
sadness	my tummy kinda hurts!
sadness	i'm a little sad that school ended today i'm moving so i'm going to miss all my new friends from this year.    just got a hair cut
sadness	It's Going To Be A Busy Day  And That Sucks Cause I Wanted To Spend Time With Someone Earlier Today
surprise	@RWPhoto Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years
